"game","show","date"
1,4596,2004-09-06
2,4597,2004-09-07
3,4598,2004-09-08
4,4599,2004-09-09
5,4600,2004-09-10
6,4601,2004-09-13
7,4602,2004-09-14
8,4603,2004-09-15
9,4604,2004-09-16
10,4605,2004-09-17
11,4606,2004-09-20
12,4607,2004-09-21
13,4608,2004-09-22
14,4609,2004-09-23
15,4610,2004-09-24
16,4611,2004-09-27
17,4612,2004-09-28
18,4613,2004-09-29
19,4614,2004-09-30
21,4616,2004-10-04
22,4617,2004-10-05
23,4618,2004-10-06
24,4619,2004-10-07
25,4620,2004-10-08
26,4621,2004-10-11
27,4622,2004-10-12
28,4623,2004-10-13
29,4624,2004-10-14
30,4625,2004-10-15
31,4626,2004-10-18
32,4627,2004-10-19
33,4628,2004-10-20
34,4629,2004-10-21
35,4630,2004-10-22
36,4631,2004-10-25
37,4632,2004-10-26
38,4633,2004-10-27
39,4634,2004-10-28
40,4635,2004-10-29
41,4636,2004-11-01
42,4637,2004-11-03
43,4638,2004-11-04
44,4639,2004-11-05
45,4640,2004-11-06
46,4641,2004-11-08
47,4642,2004-11-09
48,4643,2004-11-10
49,4644,2004-11-11
50,4645,2004-11-12
51,4646,2004-11-15
52,4647,2004-11-16
53,4648,2004-11-17
54,4649,2004-11-18
55,4650,2004-11-19
56,4651,2004-11-22
58,4653,2004-11-24
59,4654,2004-11-25
60,4655,2004-11-26
61,4656,2004-11-29
62,4657,2004-11-30
63,4658,2004-12-01
64,4659,2004-12-02
65,4660,2004-12-03
66,4661,2004-12-06
67,4662,2004-12-07
68,4663,2004-12-08
69,4664,2004-12-09
70,4665,2004-12-10
71,4666,2004-12-13
72,4667,2004-12-14
73,4668,2004-12-15
74,4669,2004-12-16
75,4670,2004-12-17
76,4671,2004-12-20
77,4672,2004-12-21
78,4673,2004-12-22
79,3072,1997-12-30
80,3073,1997-12-31
81,731,1987-11-09
82,4674,2004-12-23
83,732,1987-11-10
84,734,1987-11-12
85,733,1987-11-11
86,3075,1998-01-02
87,4675,2004-12-24
88,3141,1998-04-06
89,4676,2004-12-27
90,3076,1998-01-05
91,4677,2004-12-28
92,735,1987-11-13
93,736,1987-11-16
94,4678,2004-12-29
95,4679,2004-12-30
96,4680,2004-12-31
97,4681,2005-01-03
98,4682,2005-01-04
99,4683,2005-01-05
100,4684,2005-01-06
101,737,1987-11-17
102,4685,2005-01-07
103,4686,2005-01-10
104,4687,2005-01-11
105,738,1987-11-18
106,4688,2005-01-12
107,4689,2005-01-13
108,4690,2005-01-14
109,4691,2005-01-17
110,4692,2005-01-18
111,4693,2005-01-19
112,739,1987-11-19
113,4694,2005-01-20
114,4695,2005-01-21
116,351,1986-01-13
117,4696,2005-01-24
118,4697,2005-01-25
119,2818,1996-11-27
120,4698,2005-01-26
121,2352,1994-11-22
122,4699,2005-01-27
123,4700,2005-01-28
125,1889,1992-11-19
126,1197,1989-11-14
127,4701,2005-01-31
128,1241,1990-01-15
129,4702,2005-02-01
130,4703,2005-02-02
131,1486,1991-02-04
132,1498,1991-02-20
133,4704,2005-02-03
134,1884,1992-11-12
135,4705,2005-02-04
136,1152,1989-09-12
137,3716,2000-10-30
138,3717,2000-10-31
139,4706,2005-02-07
140,3718,2000-11-01
142,4708,2005-02-09
143,3000,1997-09-19
144,4709,2005-02-10
145,3719,2000-11-02
146,4710,2005-02-11
147,3720,2000-11-03
148,2126,1993-11-29
149,4711,2005-02-14
150,2127,1993-11-30
151,4712,2005-02-15
152,2128,1993-12-01
153,4713,2005-02-16
154,2129,1993-12-02
155,4714,2005-02-17
157,2676,1996-04-01
158,4715,2005-02-18
159,961,1988-11-07
160,962,1988-11-08
161,4716,2005-02-21
162,4717,2005-02-22
163,4718,2005-02-23
164,963,1988-11-09
165,1206,1989-11-27
166,4719,2005-02-24
167,964,1988-11-10
168,4720,2005-02-25
169,965,1988-11-11
170,967,1988-11-15
171,966,1988-11-14
172,4721,2005-02-28
173,1,1984-09-10
174,2,1984-09-11
175,4723,2005-03-02
176,4722,2005-03-01
177,3,1984-09-12
178,968,1988-11-16
179,4,1984-09-13
180,5,1984-09-14
181,969,1988-11-17
183,4724,2005-03-03
184,2985,1997-07-18
185,4725,2005-03-04
186,2682,1996-04-09
187,2683,1996-04-10
188,3383,1999-04-28
189,4726,2005-03-07
190,2819,1996-11-28
191,3112,1998-02-24
192,3113,1998-02-25
193,4727,2005-03-08
194,3114,1998-02-26
196,3115,1998-02-27
197,2584,1995-11-23
198,4728,2005-03-09
199,3117,1998-03-03
200,4729,2005-03-10
201,3127,1998-03-17
202,4730,2005-03-11
203,3128,1998-03-18
204,3664,2000-07-06
205,3129,1998-03-19
206,3478,1999-10-20
207,4731,2005-03-14
208,4732,2005-03-15
209,3126,1998-03-16
210,3122,1998-03-10
211,3123,1998-03-11
212,3124,1998-03-12
213,3125,1998-03-13
214,3130,1998-03-20
215,3131,1998-03-23
216,3132,1998-03-24
217,3133,1998-03-25
218,3134,1998-03-26
219,4733,2005-03-16
220,2876,1997-02-17
221,4734,2005-03-17
222,2934,1997-05-08
224,4558,2004-06-02
225,4735,2005-03-18
226,2907,1997-04-01
227,4736,2005-03-21
228,3135,1998-03-27
229,3136,1998-03-30
230,3139,1998-04-02
231,3137,1998-03-31
232,3138,1998-04-01
233,4737,2005-03-22
234,1480,1991-01-25
235,4738,2005-03-23
236,3140,1998-04-03
237,4739,2005-03-24
238,4740,2005-03-25
239,3384,1999-04-29
240,2990,1997-09-05
241,2991,1997-09-08
242,4741,2005-03-28
243,4742,2005-03-29
244,2992,1997-09-09
245,4743,2005-03-30
246,276,1985-09-30
